#Name,a,year
"       (2000 SC331)",46.48028540085092	,2000 
"       (2000 SD331)",43.68866209247675	,2000 
"       (2000 SE331)",43.52565504638412	,2000 
"       (2000 SF331)",44.01967965796774	,2000 
"       (2000 SG331)",44.15805198501864	,2000 
"       (2000 SH331)",44.75658114639641	,2000 
"       (2000 SJ331)",41.42225137356996	,2000 
"       (2000 SK331)",45.48480905757712	,2000 
"       (2000 SL331)",41.83119112111529	,2000 
"       (2000 SM331)",57.35891838674458	,2000 
"       (2000 SO331)",43.16269736964739	,2000 
"       (2000 SP331)",43.01289918365124	,2000 
"       (2000 SQ331)",69.80829661719112	,2000 
"       (2000 SR331)",55.88534130513695	,2000 
"       (2000 SS331)",63.68439366621489	,2000 
"       (2000 ST331)",42.47179762857771	,2000 
"       (2000 SU331)",59.86087961309737	,2000 
"       (2000 SW370)",43.80050960315337	,2000 
"       (2000 SX370)",45.03927139842963	,2000 
"       (2000 SY370)",43.53882118671044	,2000 
"       (2000 WV12)",43.61041017840913	,2000 
"       (2000 WW12)",54.03893034844818	,2000 
"       (2000 WX12)",43.77168458612169	,2000 
"       (2000 WT169)",45.0779939232298	,2000 
"       (2000 WL183)",43.68525871254787	,2000 
"       (2000 WM183)",45.06131680338897	,2000 
"       (2000 WN183)",44.94816323435322	,2000 
